titulo,url,versos
El Ratón,https://www.letras.com/las-pastillas-del-abuelo/1514969/,28
Ella Dice,https://www.letras.com/las-pastillas-del-abuelo/ella-dice/,16
Enano,https://www.letras.com/las-pastillas-del-abuelo/911172/,42
Enrique IV,https://www.letras.com/las-pastillas-del-abuelo/964960/,38
Enseñanzas,https://www.letras.com/las-pastillas-del-abuelo/ensenanzas/,41
Envuelto En Soledad,https://www.letras.com/las-pastillas-del-abuelo/903807/,29
Esperandome,https://www.letras.com/las-pastillas-del-abuelo/964961/,32
"Fuerza, Locura y Libertad",https://www.letras.com/las-pastillas-del-abuelo/fuerza-locura-y-libertad/,43
Gigantes,https://www.letras.com/las-pastillas-del-abuelo/gigantes/,26
Gobiernos Procaces,https://www.letras.com/las-pastillas-del-abuelo/gobiernos-procaces/,28
Hacia Donde Voy?,https://www.letras.com/las-pastillas-del-abuelo/1445147/,24
Histórias,https://www.letras.com/las-pastillas-del-abuelo/563511/,40
Incontinencia Verbal,https://www.letras.com/las-pastillas-del-abuelo/incontinencia-verbal/,32
Inercia,https://www.letras.com/las-pastillas-del-abuelo/inercia/,38
Inmediatez (part. Germán Daffunchio),https://www.letras.com/las-pastillas-del-abuelo/inmediatez-part-german-daffunchio/,31
Interpretación,https://www.letras.com/las-pastillas-del-abuelo/interpretacion/,28
José,https://www.letras.com/las-pastillas-del-abuelo/911173/,40
La Casada,https://www.letras.com/las-pastillas-del-abuelo/563512/,36
La Cerveza,https://www.letras.com/las-pastillas-del-abuelo/563513/,32
La Correntada,https://www.letras.com/las-pastillas-del-abuelo/la-correntada/,40
La Experiencia,https://www.letras.com/las-pastillas-del-abuelo/la-experiencia/,25
La Hazaña,https://www.letras.com/las-pastillas-del-abuelo/la-hazana/,23
La Pasión,https://www.letras.com/las-pastillas-del-abuelo/la-pasion/,35
La Pasión 2a Parte,https://www.letras.com/las-pastillas-del-abuelo/la-pasion-2da-parte/,28
Las Paces,https://www.letras.com/las-pastillas-del-abuelo/las-paces/,48
Leer y Escribir,https://www.letras.com/las-pastillas-del-abuelo/leer-y-escribir/,41
Listas Sabanas,https://www.letras.com/las-pastillas-del-abuelo/listas-sabanas/,31
Lo Más Lindo,https://www.letras.com/las-pastillas-del-abuelo/563515/,23
Lo Que No Se Ve,https://www.letras.com/las-pastillas-del-abuelo/lo-que-no-se-ve/,31
Lo Que Tenga Que Ser,https://www.letras.com/las-pastillas-del-abuelo/lo-que-tenga-que-ser/,22
Loco Por Volverla a Ver,https://www.letras.com/las-pastillas-del-abuelo/911175/,33
"Loco, No Discrimines",https://www.letras.com/las-pastillas-del-abuelo/loco-no-discrimines/,50
Locura y Realidad,https://www.letras.com/las-pastillas-del-abuelo/563516/,36
Maldita y Cortamambo,https://www.letras.com/las-pastillas-del-abuelo/1093374/,30
Mas Lejos,https://www.letras.com/las-pastillas-del-abuelo/mas-lejos/,19
Me Han Dicho,https://www.letras.com/las-pastillas-del-abuelo/911176/,38
Mi Genio Amor,https://www.letras.com/las-pastillas-del-abuelo/mi-genio-amor/,24
Mi Mama Y Mortadela,https://www.letras.com/las-pastillas-del-abuelo/563517/,47
Milagroso Eslabón,https://www.letras.com/las-pastillas-del-abuelo/milagroso-eslabon/,27
Mira La Luz Por Mi,https://www.letras.com/las-pastillas-del-abuelo/1197443/,26
Muchas Cosas,https://www.letras.com/las-pastillas-del-abuelo/568689/,27
Nació Bonavena,https://www.letras.com/las-pastillas-del-abuelo/nacio-bonavena/,17
Neblina,https://www.letras.com/las-pastillas-del-abuelo/neblina/,33
Oportunistas,https://www.letras.com/las-pastillas-del-abuelo/903808/,35
Oscarcito,https://www.letras.com/las-pastillas-del-abuelo/568690/,54
Osíris,https://www.letras.com/las-pastillas-del-abuelo/563519/,39
Peldaño,https://www.letras.com/las-pastillas-del-abuelo/1073673/,30
Perdido (Chacarera),https://www.letras.com/las-pastillas-del-abuelo/563514/,48
Permiso y Prometo,https://www.letras.com/las-pastillas-del-abuelo/permiso-y-prometo/,50
Por Colectora,https://www.letras.com/las-pastillas-del-abuelo/911178/,44
Por Un Peso Con Cincuenta,https://www.letras.com/las-pastillas-del-abuelo/563520/,28
Postura,https://www.letras.com/las-pastillas-del-abuelo/568691/,29
Puta,https://www.letras.com/las-pastillas-del-abuelo/568692/,36
¿Quién Sabe?,https://www.letras.com/las-pastillas-del-abuelo/964962/,39
Qué Carajo Es El Amor?,https://www.letras.com/las-pastillas-del-abuelo/1426293/,40
Que Pretendo No Saber?,https://www.letras.com/las-pastillas-del-abuelo/1348836/,36
Que Vicios Tengo?,https://www.letras.com/las-pastillas-del-abuelo/que-vicios-tengo/,24
Quiero Tener Razón o Ser Feliz?,https://www.letras.com/las-pastillas-del-abuelo/1422047/,10
Recuerdos,https://www.letras.com/las-pastillas-del-abuelo/568693/,22
Resulta Imposible,https://www.letras.com/las-pastillas-del-abuelo/563518/,56
Rocanrol N'n'n',https://www.letras.com/las-pastillas-del-abuelo/rocanrol-nnn/,57
Rutemberg,https://www.letras.com/las-pastillas-del-abuelo/rutemberg/,25
Saber Hacer,https://www.letras.com/las-pastillas-del-abuelo/saber-hacer/,21
Sabina Y Piazzola,https://www.letras.com/las-pastillas-del-abuelo/563523/,30
Se Equivoco Joaquín,https://www.letras.com/las-pastillas-del-abuelo/1092102/,32
Siempre Llegando,https://www.letras.com/las-pastillas-del-abuelo/siempre-llegando/,44
Solo Dios (Almafuerte),https://www.letras.com/las-pastillas-del-abuelo/562868/,36
Solo En Sueños,https://www.letras.com/las-pastillas-del-abuelo/911179/,25
Solo Te Pido,https://www.letras.com/las-pastillas-del-abuelo/563526/,31
Tantas Escaleras,https://www.letras.com/las-pastillas-del-abuelo/911180/,40
Último Round,https://www.letras.com/las-pastillas-del-abuelo/ultimo-round/,10
Una contra otra,https://www.letras.com/las-pastillas-del-abuelo/una-contra-otra/,32
Una Vez Mas,https://www.letras.com/las-pastillas-del-abuelo/1675712/,40
¿Viviré a conciencia esta lección?,https://www.letras.com/las-pastillas-del-abuelo/vivire-a-conciencia-esta-leccion/,28
Veinte,https://www.letras.com/las-pastillas-del-abuelo/veinte/,28
Vida de Estafador,https://www.letras.com/las-pastillas-del-abuelo/vida-de-estafador/,42
Viles Miedos,https://www.letras.com/las-pastillas-del-abuelo/viles-miedos/,28
